State,County,Democratic,Republican,Party
TX,red river,1731.1516821565747,2908.456159348658,1
TX,reeves,-1564.3629272262187,1576.0511253413206,1
TX,refugio,832.0537004402213,2455.62072042573,0
TX,robertson,2102.3982437390077,3465.588066646207,0
TX,rockwall,24909.967253661936,17835.64632602017,1
TX,runnels,1502.48993476732,2783.2644032797107,0
TX,rusk,2540.538278765147,7396.066799256476,0
TX,sabine,1438.1842379129666,3235.1270111428676,0
TX,san augustine,1106.3060569498666,2388.8388421987474,0
TX,san jacinto,2173.9927694756916,5726.197809717043,0
TX,san patricio,3559.6462720176023,10443.21215884992,0
TX,san saba,721.8786602351247,2002.320641393846,0
TX,schleicher,791.9778205185139,1745.8707477412827,0
TX,scurry,908.7387647444593,3916.1871452036157,0
TX,shelby,2382.6835411545762,3515.3446444756264,0
TX,stephens,871.0988611257308,2578.7979983933037,0
TX,sterling,706.6872089471653,1590.9408520147954,0
TX,stonewall,644.8089109418215,1546.808655724486,0
TX,sutton,661.0267005524511,1862.8795112712469,0
TX,swisher,854.7660724929156,2477.0802179804887,0
TX,tarrant,385611.4397754399,258701.7389554855,1
TX,taylor,22410.124341781844,24467.843728004344,1
TX,terry,223.24332617831897,2270.2200080706098,0
TX,throckmorton,805.4086721744789,1595.377892296994,0
TX,travis,344729.45999818266,163223.8603758438,1
TX,tyler,747.5242136394627,4979.814288372492,0
TX,upshur,4502.412612163451,7730.264052280949,0
TX,upton,662.4478229268498,1783.107883385419,0
TX,uvalde,1551.340808203753,3417.124793550007,0
TX,van zandt,6034.166360774278,9925.928040512945,0
TX,victoria,10175.07907556772,15938.854284912806,0
TX,washington,4948.120072526901,5689.133913367668,0
TX,webb,9842.422933920305,13346.073779769613,1
TX,wheeler,882.6266142362001,2221.0915132725313,0
TX,wichita,15407.873201581624,22938.528903324124,0
TX,wilbarger,1459.3502673345283,2931.1703591207333,0
TX,wilson,5409.144392453683,9598.053230602101,0
TX,winkler,398.95564952065615,1910.233626982612,0
TX,wood,5327.235670409351,8931.974886047641,0
TX,yoakum,920.8047941460136,2086.9844510703115,0
TX,young,2657.881341724038,4207.353942226971,0
TX,zapata,-595.1973649086467,676.4692997987113,1
UT,beaver,1466.3041766003262,2799.839203511725,0
UT,carbon,2695.14782851197,5646.053102890413,0
UT,daggett,590.858714174592,1567.493481616024,0
UT,garfield,1132.0583203005408,2472.55259092063,0
UT,grand,2279.2530399414427,3380.4127211956984,1
UT,iron,10392.654420565026,11611.488033082418,0
UT,juab,1625.1176331467104,3838.2767545724055,0
UT,kane,1988.788153212441,3109.0667091436117,0
UT,morgan,3561.7022632181215,3919.8060712783335,0
UT,piute,740.3567750394759,1676.0158958120192,0
UT,salt lake,239852.21820363225,207030.78336377023,0
UT,san juan,1868.1925186953995,4127.011701262038,0
UT,sanpete,3400.938893910392,7331.474241729815,0
UT,sevier,2701.3171186084946,5892.823828153787,0
UT,uintah,3460.220334625905,8632.870237203622,0
UT,utah,152708.8682044582,119169.9739326732,0
UT,wasatch,7641.694400694174,7009.642605718396,0
VA,albemarle,41016.310145062474,17281.46295288683,1
VA,alexandria city,68232.89342103011,18219.376322708376,1
VA,alleghany,2402.651626749179,4099.536632561543,0
VA,amelia,1173.3146963790496,2854.6270374900887,0
VA,amherst,4837.804950324047,5520.4434741027,0
VA,appomattox,2633.302531144698,3346.6991718389254,0
VA,arlington,118310.96237644952,31579.5424631571,1
VA,augusta,11748.679110732148,14499.863156825193,0
VA,bath,818.0676623160252,2281.2381101876053,0
VA,bland,815.1977766174496,2740.2058409492165,0
VA,botetourt,7351.753874363698,8273.379445416362,0
VA,bristol city,3856.9191635762145,3968.161028609742,0
VA,brunswick,686.8276579907397,1845.6304227919973,1
VA,buchanan,1036.7681946438788,3314.602521091965,0
VA,buena vista city,1640.9254793938817,2396.3763001613843,0
VA,campbell,8556.98158463879,9841.089126520317,0
VA,carroll,2593.9664507221096,6041.924111086941,0
VA,charles city,933.7679107863441,1678.5268478369617,1
VA,charlotte,1268.957914121529,2526.4791749719043,0
